user_id,tweet_id,username,location,following,followers,twt_created_at,total_tweets,retweet_count,text,hashtags,mentions
99,99,bhagsingh21600,,16,0,2022-11-08 08:45:23+00:00,23,1,sir send letter post also mailed concerned authority till date action taken kindly look matter pls still signal village,[],"[{'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [186, 199]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [200, 209]}, {'screen_name': 'AshwiniVaishnaw', 'name': 'Ashwini Vaishnaw', 'id': 852579395315171328, 'id_str': '852579395315171328', 'indices': [211, 227]}, {'screen_name': 'devusinh', 'name': 'Devusinh Chauhan', 'id': 591850159, 'id_str': '591850159', 'indices': [228, 237]}, {'screen_name': 'BSNL_HP', 'name': 'BSNL_HimachalPradesh', 'id': 756763170421760000, 'id_str': '756763170421760000', 'indices': [238, 246]}, {'screen_name': 'BSNLCorporate', 'name': 'BSNL India', 'id': 2251461926, 'id_str': '2251461926', 'indices': [247, 261]}]"
100,100,DIPESHBEHERA5,,297,104,2022-11-08 08:21:15+00:00,98,1,please look matter take nesesary action,[],"[{'screen_name': 'SecyChief', 'name': 'ChiefSecyOdisha', 'id': 1193083177343938561, 'id_str': '1193083177343938561', 'indices': [0, 10]}, {'screen_name': 'DistAdmKeonjhar', 'name': 'District Administration,Keonjhar', 'id': 873898425862938624, 'id_str': '873898425862938624', 'indices': [11, 27]}, {'screen_name': 'mohanmajhi_BJP', 'name': 'Mohan Charan Majhi', 'id': 1081880909727453184, 'id_str': '1081880909727453184', 'indices': [84, 99]}, {'screen_name': 'ospcb123', 'name': 'Odisha State Pollution Control Board', 'id': 932482088292327424, 'id_str': '932482088292327424', 'indices': [100, 109]}, {'screen_name': 'CPCB_OFFICIAL', 'name': 'Central Pollution Control Board', 'id': 1056904937932709888, 'id_str': '1056904937932709888', 'indices': [110, 124]}, {'screen_name': 'NITIAayog', 'name': 'NITI Aayog', 'id': 1244137812, 'id_str': '1244137812', 'indices': [125, 135]}, {'screen_name': 'ForestDeptt', 'name': 'Odisha Forest, Env. and Climate Change Department', 'id': 871699282608390145, 'id_str': '871699282608390145', 'indices': [136, 148]}, {'screen_name': 'NGTribunal', 'name': 'Green Tribunal', 'id': 1079386366071300096, 'id_str': '1079386366071300096', 'indices': [149, 160]}, {'screen_name': 'MoSarkar5T', 'name': 'MoSarkar 5T', 'id': 1176777819512168449, 'id_str': '1176777819512168449', 'indices': [161, 172]}, {'screen_name': 'CMO_Odisha', 'name': 'CMO Odisha', 'id': 4723068481, 'id_str': '4723068481', 'indices': [173, 184]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [185, 194]}, {'screen_name': 'BarbilULB', 'name': 'Barbil Municipality', 'id': 894783477609971712, 'id_str': '894783477609971712', 'indices': [195, 205]}]"
101,101,RoverBholu,"Cuttack, India",172,28,2022-11-07 07:11:26+00:00,5476,0,sir kindly look matter corruption railway officer loot railway modi,[],"[{'screen_name': 'raosaheboffice', 'name': 'Office of Raosaheb Patil Danve', 'id': 1186237089920311298, 'id_str': '1186237089920311298', 'indices': [0, 15]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [16, 29]}, {'screen_name': 'RailMinIndia', 'name': 'Ministry of Railways', 'id': 2602959463, 'id_str': '2602959463', 'indices': [30, 43]}]"
103,103,salonisharma143,,3,0,2022-11-06 16:17:33+00:00,5,2,supplied acidic muddy smelly water via municipal tank resident building fallen ill made several complaint djb ndmc action,[],"[{'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [0, 15]}, {'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [16, 30]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [31, 41]}, {'screen_name': 'tweetndmc', 'name': 'New Delhi Municipal Council Official', 'id': 2855166636, 'id_str': '2855166636', 'indices': [42, 52]}, {'screen_name': 'AAPDelhi', 'name': 'Aam Aadmi Party Delhi', 'id': 2299699574, 'id_str': '2299699574', 'indices': [53, 62]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [63, 76]}, {'screen_name': 'BJP4Delhi', 'name': 'BJP Delhi', 'id': 337065278, 'id_str': '337065278', 'indices': [77, 87]}]"
105,105,saurabh3515,"Bihar, India",214,26,2022-11-06 11:47:38+00:00,176,0,dear sir please take look matter,[],"[{'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [0, 9]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [10, 23]}]"
106,106,hsbisht1981,"Mehrauli, New Delhi",100,14,2022-11-05 19:21:05+00:00,43,0,dear sir condition mehrauli ward behind multan dharamsala mtrs area like since age please help resident providing clean area live,[],"[{'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [0, 14]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [15, 25]}, {'screen_name': 'DelhiComplaint', 'name': 'Delhi Complaint', 'id': 1275042856613195782, 'id_str': '1275042856613195782', 'indices': [26, 41]}, {'screen_name': 'MLA_NareshYadav', 'name': 'Naresh Yadav MLA AAP', 'id': 111645152, 'id_str': '111645152', 'indices': [42, 58]}]"
107,107,achalkohli,"नई दिल्ली, भारत",87,49,2022-11-05 15:06:57+00:00,128,15,gali pandav nagar near sanjay jheel delhi illegally constructing extra floor police action mcd action,"[{'text': 'illegal_Construction_flourishing', 'indices': [97, 130]}]","[{'screen_name': 'CPDelhi', 'name': 'CP Delhi #DilKiPolice', 'id': 626218913, 'id_str': '626218913', 'indices': [0, 8]}, {'screen_name': 'DCP_DD1', 'name': 'Dyputy Commissioner ', 'id': 1597901238, 'id_str': '1597901238', 'indices': [9, 17]}, {'screen_name': 'DelhiPolice', 'name': 'Delhi Police', 'id': 1850705408, 'id_str': '1850705408', 'indices': [18, 30]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [31, 41]}, {'screen_name': 'OfficialEdmc', 'name': 'EDMC Official', 'id': 1187797709257732096, 'id_str': '1187797709257732096', 'indices': [42, 55]}, {'screen_name': 'ArvindKejriwal', 'name': 'Arvind Kejriwal', 'id': 405427035, 'id_str': '405427035', 'indices': [56, 71]}, {'screen_name': 'msisodia', 'name': 'Manish Sisodia', 'id': 30417501, 'id_str': '30417501', 'indices': [72, 81]}, {'screen_name': 'msisodia_mla', 'name': 'MLA Patparganj (Manish Sisodia)', 'id': 1026525071567773696, 'id_str': '1026525071567773696', 'indices': [82, 95]}]"
112,112,ankyarora9555,"New Delhi, India",506,17,2022-11-03 11:22:35+00:00,2891,0,road condition bad totally damaged road kishanganj near azad market railway underpaas,[],"[{'screen_name': 'CitySpzone', 'name': 'City Sadar Paharganj Zone', 'id': 1064806340915224577, 'id_str': '1064806340915224577', 'indices': [0, 11]}, {'screen_name': 'AshwaniKumar_92', 'name': 'Ashwani Kumar', 'id': 728434197812019200, 'id_str': '728434197812019200', 'indices': [12, 28]}, {'screen_name': 'SBM_MCD', 'name': 'Swachh Survekshan MCD', 'id': 957621630238326784, 'id_str': '957621630238326784', 'indices': [29, 37]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [38, 48]}, {'screen_name': 'CitySpzone', 'name': 'City Sadar Paharganj Zone', 'id': 1064806340915224577, 'id_str': '1064806340915224577', 'indices': [49, 60]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [61, 71]}, {'screen_name': 'DPCC_pollution', 'name': 'Delhi Pollution Control Committee', 'id': 1062966155529347072, 'id_str': '1062966155529347072', 'indices': [163, 178]}, {'screen_name': 'CPCB_OFFICIAL', 'name': 'Central Pollution Control Board', 'id': 1056904937932709888, 'id_str': '1056904937932709888', 'indices': [179, 193]}, {'screen_name': 'DelhiPwd', 'name': 'PWD Delhi', 'id': 763629353968234496, 'id_str': '763629353968234496', 'indices': [194, 203]}]"
113,113,Shivanitanwar92,"New Delhi, India",99,31,2022-11-03 08:07:51+00:00,757,0,till date action taken remove dust completion borewell,[],"[{'screen_name': 'NarainaWelfare', 'name': 'Naraina Jan Sampark Welfare Association (Regd).', 'id': 1482568317416390664, 'id_str': '1482568317416390664', 'indices': [0, 15]}, {'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [16, 30]}, {'screen_name': 'Ceo_djb', 'name': 'Delhi Jal Board', 'id': 875986874208145410, 'id_str': '875986874208145410', 'indices': [31, 39]}, {'screen_name': 'DPCC_pollution', 'name': 'Delhi Pollution Control Committee', 'id': 1062966155529347072, 'id_str': '1062966155529347072', 'indices': [40, 55]}, {'screen_name': 'ipathak25', 'name': 'Durgesh Pathak', 'id': 880641566, 'id_str': '880641566', 'indices': [56, 66]}, {'screen_name': 'MCD_Delhi', 'name': 'Municipal Corporation of Delhi', 'id': 1008443214758461440, 'id_str': '1008443214758461440', 'indices': [67, 77]}, {'screen_name': 'RYSNaraina', 'name': 'Rajput Yuva Sangh', 'id': 1482008327186169857, 'id_str': '1482008327186169857', 'indices': [78, 89]}, {'screen_name': 'LtGovDelhi', 'name': 'LG Delhi', 'id': 815473030868545537, 'id_str': '815473030868545537', 'indices': [90, 101]}, {'screen_name': 'CMO_Delhi', 'name': 'Chief Minister,Delhi', 'id': 2939062625, 'id_str': '2939062625', 'indices': [102, 112]}, {'screen_name': 'DelhiJalBoard', 'name': 'Delhi Jal Board', 'id': 3310721342, 'id_str': '3310721342', 'indices': [142, 156]}, {'screen_name': 'Ceo_djb', 'name': 'Delhi Jal Board', 'id': 875986874208145410, 'id_str': '875986874208145410', 'indices': [202, 210]}, {'screen_name': 'ipathak25', 'name': 'Durgesh Pathak', 'id': 880641566, 'id_str': '880641566', 'indices': [212, 222]}]"
114,114,meee_mumbaikar,"Mumbai, India",2171,821,2022-11-02 14:43:45+00:00,13548,0,concerned pls look matter pls needful,"[{'text': 'SOS', 'indices': [26, 30]}, {'text': 'Medicare', 'indices': [31, 40]}, {'text': 'Help', 'indices': [41, 46]}, {'text': 'HelpingHands', 'indices': [47, 60]}, {'text': 'Lifecare', 'indices': [61, 70]}, {'text': 'COVID19', 'indices': [71, 79]}, {'text': 'CovidAmnesty', 'indices': [80, 93]}, {'text': 'serious', 'indices': [268, 276]}]","[{'screen_name': 'AMohanRao5', 'name': 'A Mohan Rao', 'id': 746620076950978560, 'id_str': '746620076950978560', 'indices': [0, 11]}, {'screen_name': 'narendramodi', 'name': 'Narendra Modi', 'id': 18839785, 'id_str': '18839785', 'indices': [12, 25]}, {'screen_name': 'amnesty', 'name': 'Amnesty International', 'id': 18213483, 'id_str': '18213483', 'indices': [94, 102]}, {'screen_name': 'eoiberlin', 'name': 'India in Germany', 'id': 3066016678, 'id_str': '3066016678', 'indices': [103, 113]}, {'screen_name': 'CGIFrankfurt', 'name': 'India in Frankfurt', 'id': 2650983535, 'id_str': '2650983535', 'indices': [114, 127]}, {'screen_name': 'GermanyinIndia', 'name': 'German Embassy India', 'id': 859471621, 'id_str': '859471621', 'indices': [128, 143]}, {'screen_name': 'cgmunich', 'name': 'India in Munich', 'id': 4405258576, 'id_str': '4405258576', 'indices': [144, 153]}, {'screen_name': 'IndiainHamburg', 'name': 'India in Hamburg', 'id': 704301200750022656, 'id_str': '704301200750022656', 'indices': [154, 169]}, {'screen_name': 'GermanyCovid', 'name': 'COVID-19 in Deutschland', 'id': 1367507240555536388, 'id_str': '1367507240555536388', 'indices': [170, 183]}, {'screen_name': 'ECDC_EU', 'name': 'ECDC', 'id': 204752573, 'id_str': '204752573', 'indices': [184, 192]}, {'screen_name': 'COVIDNewsByMIB', 'name': '#IndiaFightsCorona', 'id': 1244892413262311425, 'id_str': '1244892413262311425', 'indices': [193, 208]}, {'screen_name': 'PMOIndia', 'name': 'PMO India', 'id': 471741741, 'id_str': '471741741', 'indices': [209, 218]}, {'screen_name': 'GermanyDiplo', 'name': 'GermanForeignOffice', 'id': 453030125, 'id_str': '453030125', 'indices': [219, 232]}]"
