Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,3,0.9099999999999999,0.01,0.29533994932481494
75% Corpus,3,0.9099999999999999,0.31,0.2967466781911617
75% Corpus,3,0.9099999999999999,0.61,0.3065865965088656
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3180622153452897
75% Corpus,3,0.9099999999999999,symmetric,0.30275020356625254
75% Corpus,3,symmetric,0.01,0.29841087545198625
75% Corpus,3,symmetric,0.31,0.29976348055398183
75% Corpus,3,symmetric,0.61,0.29999690455616485
75% Corpus,3,symmetric,0.9099999999999999,0.30995947080807595
75% Corpus,3,symmetric,symmetric,0.29976348055398183
75% Corpus,3,asymmetric,0.01,0.3114014708049901
75% Corpus,3,asymmetric,0.31,0.23170398606139664
75% Corpus,3,asymmetric,0.61,0.412924882866798
75% Corpus,3,asymmetric,0.9099999999999999,0.41691800735387846
75% Corpus,3,asymmetric,symmetric,0.25322122743270836
75% Corpus,4,0.01,0.01,0.29576258473720085
75% Corpus,4,0.01,0.31,0.2942006190870504
75% Corpus,4,0.01,0.61,0.3292276390185449
75% Corpus,4,0.01,0.9099999999999999,0.3026366277499758
75% Corpus,4,0.01,symmetric,0.28361581163456295
75% Corpus,4,0.31,0.01,0.2971180479209885
75% Corpus,4,0.31,0.31,0.31595691794819863
75% Corpus,4,0.31,0.61,0.32767035356100244
75% Corpus,4,0.31,0.9099999999999999,0.36343124765920065
75% Corpus,4,0.31,symmetric,0.29216425573093974
75% Corpus,4,0.61,0.01,0.301189591644613
75% Corpus,4,0.61,0.31,0.29993686945232556
75% Corpus,4,0.61,0.61,0.33419102838021203
75% Corpus,4,0.61,0.9099999999999999,0.3612602277766099
75% Corpus,4,0.61,symmetric,0.3046080341713594
75% Corpus,4,0.9099999999999999,0.01,0.29788776427665187
75% Corpus,4,0.9099999999999999,0.31,0.2917236352304938
75% Corpus,4,0.9099999999999999,0.61,0.32417982754877583
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.3249403195961008
75% Corpus,4,0.9099999999999999,symmetric,0.2923986015775577
75% Corpus,4,symmetric,0.01,0.29431348243619393
75% Corpus,4,symmetric,0.31,0.29205071033025465
75% Corpus,4,symmetric,0.61,0.31945032031683934
75% Corpus,4,symmetric,0.9099999999999999,0.3589747682985406
75% Corpus,4,symmetric,symmetric,0.2978279684899965
75% Corpus,4,asymmetric,0.01,0.3435359709219219
75% Corpus,4,asymmetric,0.31,0.33987169568963005
75% Corpus,4,asymmetric,0.61,0.4586649176323877
75% Corpus,4,asymmetric,0.9099999999999999,0.39685240451340215
75% Corpus,4,asymmetric,symmetric,0.3168342472534692
75% Corpus,5,0.01,0.01,0.3039375397335006
75% Corpus,5,0.01,0.31,0.2930390354687513
75% Corpus,5,0.01,0.61,0.40176351079929323
75% Corpus,5,0.01,0.9099999999999999,0.34354920992942667
75% Corpus,5,0.01,symmetric,0.26338159719385534
75% Corpus,5,0.31,0.01,0.31071720592184676
75% Corpus,5,0.31,0.31,0.29178410922903647
75% Corpus,5,0.31,0.61,0.3799803546749323
75% Corpus,5,0.31,0.9099999999999999,0.40193819707388084
75% Corpus,5,0.31,symmetric,0.2962832289516986
75% Corpus,5,0.61,0.01,0.31291773107323184
75% Corpus,5,0.61,0.31,0.3136387449175312
75% Corpus,5,0.61,0.61,0.3624813683121112
75% Corpus,5,0.61,0.9099999999999999,0.3808374643359218
75% Corpus,5,0.61,symmetric,0.30196716297614523
75% Corpus,5,0.9099999999999999,0.01,0.2922225289462469
75% Corpus,5,0.9099999999999999,0.31,0.2999543094844676
75% Corpus,5,0.9099999999999999,0.61,0.3414945861902784
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.38117127368969034
75% Corpus,5,0.9099999999999999,symmetric,0.2929050001115847
75% Corpus,5,symmetric,0.01,0.2946913277868572
